OptType,Strike,Bid,Ask,Rate,Fwd
call,3250,0.154,0.163,0,3863.18
call,3375,0.1255,0.1285,0,3863.28
call,3500,0.093,0.096,0,3863.21
call,3625,0.0605,0.064,0,3862.96
call,3750,0.029,0.032,0,3862.95
put,3750,0.0005,0.001,0,3863.32
call,3875,0.005,0.0065,0,3863.26
put,3875,0.008,0.01,0,3862.95
put,4000,0.029,0.0395,0,3863.05
put,4125,0.0655,0.069,0,3862.95
put,4250,0.098,0.101,0,3863.18
put,4375,0.13,0.1335,0,3863.22
