OptType,Strike,Bid,Ask,Rate,Fwd
call,3000,0.219,0.227,0,3862.95
call,3125,0.1865,0.1945,0,3862.95
call,3250,0.154,0.163,0,3863.09
put,3375,0.0005,0.001,0,3862.95
call,3375,0.1255,0.13,0,3863.19
call,3500,0.095,0.0995,0,3863.16
put,3500,0.0015,0.0025,0,3863.32
call,3625,0.0665,0.0715,0,3863.05
put,3625,0.0055,0.007,0,3862.96
call,3750,0.042,0.044,0,3862.96
put,3750,0.0125,0.0135,0,3862.95
call,3875,0.023,0.025,0,3862.95
put,3875,0.026,0.029,0,3862.95
put,4000,0.046,0.0485,0,3862.95
call,4000,0.011,0.013,0,3863.09
call,4125,0.0045,0.006,0,3862.95
put,4125,0.07,0.075,0,3863.16
call,4250,0.0015,0.0025,0,3863.16
put,4250,0.099,0.1045,0,3863.19
put,4375,0.13,0.1355,0,3863.09
call,4375,0.0005,0.001,0,3862.96
put,4500,0.001,0.222,0,3863.24
