OptType,Strike,Bid,Ask,Rate,Fwd
put,1500,0.001,0.002,0,3857.31
call,1500,0.6105,0.6135,0,3856.59
put,2000,0.0045,0.0055,0,3856.89
call,2000,0.4845,0.489,0,3856.48
put,2500,0.0145,0.016,0,3856.69
call,2500,0.3635,0.3695,0,3856.74
call,3000,0.2565,0.262,0,3856.31
put,3000,0.0375,0.0385,0,3856.64
put,3500,0.0775,0.0805,0,3857.32
call,3500,0.1695,0.173,0,3857.44
call,4000,0.1055,0.109,0,3857.44
put,4000,0.143,0.146,0,3856.59
put,4500,0.227,0.2365,0,3856.91
call,4500,0.064,0.066,0,3856.31
call,5000,0.038,0.04,0,3856.45
put,5000,0.323,0.3455,0,3856.59
put,6000,0.5595,0.581,0,3856.42
call,6000,0.0135,0.0155,0,3856.52
put,7000,0.8145,0.829,0,3856.65
call,7000,0.006,0.0075,0,3856.45
call,8000,0.0035,0.0045,0,3856.68
put,8000,1.0735,1.084,0,3856.7
put,9000,1.3325,1.34,0,3857.21
call,9000,0.0025,0.003,0,3856.42
put,10000,1.5915,1.5985,0,3856.95
call,10000,0.0015,0.002,0,3856.31
call,11000,0.001,0.002,0,3856.76
call,12000,0.0005,0.0015,0,3857.16
call,13000,0.0005,0.0015,0,3857.21
