OptType,Strike,Bid,Ask,Rate,Fwd
call,1500,0.613,0.617,0,3856.42
put,1500,0.0045,0.006,0,3857.02
call,2000,0.4935,0.499,0,3856.72
put,2000,0.015,0.0175,0,3856.74
call,2500,0.3835,0.3895,0,3856.7
put,2500,0.0365,0.0385,0,3856.48
put,3000,0.072,0.073,0,3856.31
call,3000,0.288,0.2945,0,3856.48
put,3500,0.1215,0.125,0,3857.01
call,3500,0.2105,0.2165,0,3856.34
call,4000,0.151,0.156,0,3857.42
put,4000,0.1905,0.195,0,3857.44
call,4500,0.107,0.111,0,3856.28
put,4500,0.2745,0.2835,0,3856.48
call,5000,0.078,0.0795,0,3856.52
put,5000,0.047,0.402,0,3856.7
call,5500,0.0565,0.0575,0,3857.25
call,6000,0.0405,0.0425,0,3856.43
call,7000,0.022,0.0245,0,3856.84
call,8000,0.013,0.015,0,3856.68
call,9000,0.009,0.01,0,3856.55
call,10000,0.0075,0.008,0,3856.71
call,11000,0.005,0.0065,0,3856.51
call,12000,0.004,0.0055,0,3857.44
